"","X","Y","Group"
"1","1","0.5834536","Gender"
"2","1","0.05006595","Age"
"3","1","0.05285489","Openness"
"4","5","0.668746844","Gender"
"5","5","0.158758028","Age"
"6","5","0.027866669","Openness"
"7","10","0.666600534","Gender"
"8","10","0.121967496","Age"
"9","10","0.198996779","Openness"
"10","15","0.759595267","Gender"
"11","15","0.248195832","Age"
"12","15","0.102736891","Openness"
"13","20","0.777757738","Gender"
"14","20","0.270059309","Age"
"15","20","0.142503982","Openness"
"16","25","0.809555588","Gender"
"17","25","0.296023633","Age"
"18","25","0.140872784","Openness"
"19","30","0.814533583","Gender"
"20","30","0.327362756","Age"
"21","30","0.315245322","Openness"
"22","35","0.831704062","Gender"
"23","35","0.325379672","Age"
"24","35","0.276070173","Openness"
"25","40","0.860038958","Gender"
"26","40","0.357060352","Age"
"27","40","0.255262239","Openness"
"28","45","0.825842291","Gender"
"29","45","0.359714731","Age"
"30","45","0.254095716","Openness"
"31","50","0.872646274","Gender"
"32","50","0.359949073","Age"
"33","50","0.311037895","Openness"
"34","55","0.842832407","Gender"
"35","55","0.385523815","Age"
"36","55","0.248004837","Openness"
"37","60","0.866586105","Gender"
"38","60","0.440025975","Age"
"39","60","0.333089191","Openness"
"40","65","0.87518938","Gender"
"41","65","0.387598699","Age"
"42","65","0.302264708","Openness"
"43","70","0.864674266","Gender"
"44","70","0.423313251","Age"
"45","70","0.30690062","Openness"
"46","75","0.90031383","Gender"
"47","75","0.402152176","Age"
"48","75","0.284072756","Openness"
"49","80","0.877840704","Gender"
"50","80","0.444518426","Age"
"51","80","0.31183463","Openness"
"52","85","0.892089315","Gender"
"53","85","0.445556548","Age"
"54","85","0.322940308","Openness"
"55","90","0.906103456","Gender"
"56","90","0.429139987","Age"
"57","90","0.296262228","Openness"
"58","95","0.909999279","Gender"
"59","95","0.445350743","Age"
"60","95","0.282252247","Openness"
"61","100","0.909007287","Gender"
"62","100","0.433995242","Age"
"63","100","0.341756977","Openness"
"64","105","0.912019335","Gender"
"65","105","0.484794974","Age"
"66","105","0.355089131","Openness"
"67","110","0.919720799","Gender"
"68","110","0.45480592","Age"
"69","110","0.340234355","Openness"
"70","115","0.907384027","Gender"
"71","115","0.49249813","Age"
"72","115","0.343724898","Openness"
"73","120","0.921055479","Gender"
"74","120","0.459180151","Age"
"75","120","0.355217979","Openness"
"76","125","0.911297886","Gender"
"77","125","0.480382362","Age"
"78","125","0.352138355","Openness"
"79","130","0.916221773","Gender"
"80","130","0.475312593","Age"
"81","130","0.37076647","Openness"
"82","135","0.916221773","Gender"
"83","135","0.46053919","Age"
"84","135","0.359002407","Openness"
"85","140","0.923742876","Gender"
"86","140","0.500145272","Age"
"87","140","0.332070231","Openness"
"88","145","0.917213765","Gender"
"89","145","0.486464783","Age"
"90","145","0.336703887","Openness"
"91","150","0.930849145","Gender"
"92","150","0.499339714","Age"
"93","150","0.360613822","Openness"
"94","155","0.932219898","Gender"
"95","155","0.476301529","Age"
"96","155","0.380467069","Openness"
"97","160","0.922065508","Gender"
"98","160","0.437383525","Age"
"99","160","0.347799321","Openness"
"100","165","0.925708823","Gender"
"101","165","0.55993029","Age"
"102","165","0.321913911","Openness"
"103","170","0.935033547","Gender"
"104","170","0.47525793","Age"
"105","170","0.332737804","Openness"
"106","175","0.930091624","Gender"
"107","175","0.471244175","Age"
"108","175","0.365919176","Openness"
"109","180","0.924374143","Gender"
"110","180","0.484124381","Age"
"111","180","0.393408755","Openness"
"112","185","0.93158863","Gender"
"113","185","0.53230469","Age"
"114","185","0.372359743","Openness"
"115","190","0.940769064","Gender"
"116","190","0.484232798","Age"
"117","190","0.35569625","Openness"
"118","195","0.941111752","Gender"
"119","195","0.4994467","Age"
"120","195","0.361740471","Openness"
"121","200","0.942500541","Gender"
"122","200","0.508049607","Age"
"123","200","0.372882101","Openness"
"124","205","0.942284106","Gender"
"125","205","0.502807042","Age"
"126","205","0.431960451","Openness"
"127","210","0.932093644","Gender"
"128","210","0.526702086","Age"
"129","210","0.371000787","Openness"
"130","215","0.94055263","Gender"
"131","215","0.531585488","Age"
"132","215","0.375744684","Openness"
"133","220","0.944105764","Gender"
"134","220","0.516845268","Age"
"135","220","0.381058987","Openness"
"136","225","0.939921362","Gender"
"137","225","0.540242343","Age"
"138","225","0.390205554","Openness"
"139","230","0.945169901","Gender"
"140","230","0.52975371","Age"
"141","230","0.388542474","Openness"
"142","235","0.940444412","Gender"
"143","235","0.52440851","Age"
"144","235","0.366965833","Openness"
"145","240","0.952510641","Gender"
"146","240","0.533460153","Age"
"147","240","0.378009161","Openness"
"148","245","0.943564678","Gender"
"149","245","0.523189138","Age"
"150","245","0.386647163","Openness"
"151","250","0.943654859","Gender"
"152","250","0.534241908","Age"
"153","250","0.397041033","Openness"
"154","255","0.949949499","Gender"
"155","255","0.499651837","Age"
"156","255","0.398459316","Openness"
"157","260","0.943095736","Gender"
"158","260","0.552029493","Age"
"159","260","0.406367105","Openness"
"160","265","0.94827213","Gender"
"161","265","0.529508933","Age"
"162","265","0.413447036","Openness"
"163","270","0.944737032","Gender"
"164","270","0.555536119","Age"
"165","270","0.39642481","Openness"
"166","275","0.94589135","Gender"
"167","275","0.546350408","Age"
"168","275","0.398652801","Openness"
"169","280","0.950238078","Gender"
"170","280","0.54855546","Age"
"171","280","0.387923797","Openness"
"172","285","0.940354231","Gender"
"173","285","0.539063117","Age"
"174","285","0.372136627","Openness"
"175","290","0.945169901","Gender"
"176","290","0.541643025","Age"
"177","290","0.384383533","Openness"
"178","295","0.946324219","Gender"
"179","295","0.539230144","Age"
"180","295","0.391468375","Openness"
"181","300","0.944394344","Gender"
"182","300","0.544369476","Age"
"183","300","0.398355944","Openness"
